name,address,timing,phone
Nykaa Luxe - Infiniti Mall ,"Ground Floor, Unit No 14,New Link Road, Oshiwara,Andheri West, Mumbai - 400053 ",11:00 AM - 09:30 PM, 022-22762722
Nykaa On Trend - Seawoods Grand Central Mall ,"Upper Ground floor, Plot No.R-1, Sector 40, Seawoods Railway Station, Navi Mumbai- 400706 ",11:00 AM - 09:30 PM, 022-22762722
Nykaa Luxe - Westend Mall ,"Ground Floor, Unit no: GS-09C, Aundh Pune - 411007 ",11:00 AM - 09:30 PM, 022-22762722
Nykaa On Trend - Palladium Mall ,"Ground Floor, 28, Velachery Road Nagendra Nagar, Anna Garden Velachery, Chennai- 600042",11:00 AM - 09:30 PM,
Nykaa On Trend - Prozone Mall ,"Ground Floor, Sivanandhapuram, Saravanampatty, Coimbatore, 641035 ",11:00 AM - 09:30 PM, 022-22762722
Nykaa Luxe - Next Treasure Island Next Mall ,"Ground Floor, Rabindranath Tagore Marg, Flim Colony Indore- 452001",11:00 AM - 09:30 PM,
Nykaa Luxe - L&T Metro Mall ,"Ground Floor Nagarjuna Hills, Punjagutta Hyderabad- 500082",11:00 AM - 09:30 PM,
Nykaa On Trend - Logix City Centre Mall ,"Ground floor, Store No-6, Plot No BW 58, Sector 32 Noida: 201301",11:00 AM - 09:30 PM,
Nykaa Luxe - Khan Market ,"58b, Rabindra Nagar New Delhi- 110003",11:00 AM - 09:30 PM,
Nykaa Luxe - The Chanakya ,"Second floor Unit No S202-203 13A-16D, Tikendrajeet Marg New Delhi- 110021",11:00 AM - 09:30 PM,
Nykaa Luxe - Indira Gandhi International Airport ,"Domestic Departure, Terminal-3 New Delhi- 110037",11:00 AM - 09:30 PM,
Nykaa On Trend - Mall of Amritsar ,"Ground Floor, Sultan Wind Sub Urban, Main GT Road Amritsar- 143001",11:00 AM - 09:30 PM,
Nykaa On Trend - Mantri Square Mall ,"Unit No.UG-15A, Sampige Rd, Malleshwaram West, Bengaluru, Karnataka 560003",11:00 AM - 09:30 PM,
Nykaa Luxe - Alpha One Mall ,"Ground Floor, Unit No. G-35, Plot No-216, T.P Scheme-1, Near Vastrapur Lake, Vastrapur, Ahmedabad, Gujarat 380054",11:00 AM - 09:30 PM,
Nykaa Luxe - Esplanade Mall ,"Ground Floor, Shop No. UG-28, Unit No. 32,721, Rasulgarh Industrial Estate, Industrial Area Estate, Bhubaneswar, Odisha 751010",11:00 AM - 09:30 PM,
Nykaa Luxe - Forum Shantiniketan Mall ,"Unit No - 21 Whitefield Main road, Hoodi. Bengaluru-560067",11:00 AM - 09:30 PM,
Nykaa Luxe - Z Square Mall ,"Ground Floor, Unit No. G-03,16/113, Mall Road, Bada Chauraha, Downtown, Kanpur, Uttar Pradesh 208001",11:00 AM - 09:30 PM,
Nykaa On Trend - Inorbit Mall ,"Unit No. GF - 06, Link Rd, Malad West, Mumbai, Maharashtra 400064",11:00 AM - 09:30 PM,
Nykaa On Trend - VR Mall ,"Unit No. G-47 A, Jawaharlal Nehru Rd, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",11:00 AM - 09:30 PM,
Nykaa On Trend - Viviana Mall ,"Unit No. GF-52A, Eastern Express Highway, On Service Road, Next To Jupiter Hospital, Thane West, Thane, Maharashtra 400601",11:00 AM - 09:30 PM,
Nykaa On Trend - Ambience Mall ,"Unit No. G-060A, NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002",11:00 AM - 09:30 PM,
Nykaa On Trend - MI Road ,"Ground Floor, E-2, Kamani Mansion, Panch Batti Circle, M.I. Road, Jaipur, Rajasthan 302001",11:00 AM - 09:30 PM,
Nykaa Luxe - Lavelle Road ,"Lavelle Road, 7, 100 Feet Ring Road, Near-Regent, Bengaluru, Karnataka 560001",11:00 AM - 09:30 PM,
Nykaa Luxe - Pacific Mall ,"Pacfic Mall, Unit No GF - 39, Najafgarh Rd, Tagore Garden, Tilak Nagar, New Delhi, Delhi 110018 ",11:00 AM - 09:30 PM, 011-46010013
"Nykaa Luxe - Forum Courtyard Mall, Kolkata ","Nykaa LUXE, Forum Courtyard Mall, Unit No GF - 009, 10/3, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020 ",11:00 AM - 09:30 PM, 033 4005 6397
Nykaa Luxe - Linking Road ,"Nykaa Luxe, Plot No 329, Ground Floor,Dawn Building, Linking Road, Khar Mumbai, Maharashtra 400052 ",11:00 AM - 09:30 PM, 022-62362228
"Nykaa Luxe - High Street, Panaji, Goa ","Nykaa Luxe, Ground Floor, Park Plaza Building, Opp Azad Maidan, Panaji, Goa - 403001 Panaji, Goa 403001",11:00 AM - 09:30 PM,
"Nykaa Luxe - Sahara Ganj, Lucknow ","Sahara Ganj Mall, Shop No. – 21D, Ground Floor, Shahnajaf Road, Prem Nagar, Hazratganj Lucknow, Uttar Pradesh 226001",11:00 AM - 09:30 PM,
Nykaa Luxe - Powai ,"Nykaa LUXE, G4A, Ground Floor, City Park Central Avenue, Hiranandani Business Park, Powai, Mumbai, Maharashtra 400076",11:00 AM - 09:30 PM,
"Nykaa Luxe - Inorbit Mall, Vadodara ","Nykaa Luxe, Inorbit Mall, Shop No. – G-33, Opp, Alembic Rd, Subhanpura, Vadodara, Gujarat 390023",11:00 AM - 09:30 PM,
Nykaa Luxe - City Centre Mall ,"Nykaa LUXE, City Centre Mall, Unit No GF - 3 & 3A, 10/3, GS Rd, Guwahati, Assam 781005",10:00 AM - 10:00 AM,
Nykaa Luxe - Khan Market 2 ,"Nykaa Luxe, Khan Market, 45-A, Front Portion, New Delhi - 110003",11:00 AM - 09:30 PM,
"Nykaa On Trend - Trilium Mall, Nagpur ","Nykaa On Trend, Trilium Mall, Unit No. UGF - 18, Rambagh Layout, Untkhana, Nagpur, Maharashtra 440003",11:00 AM - 09:30 PM,
"Nykaa Luxe - MBD Mall, Ludhiana ","MBD Neopolis Mall, Ground Floor, Ferozpur Rd, Housing Board ColonyAdjacent Rajguru NagarLudhiana, Punjab 141012",11:00 AM - 09:30 PM,
Nykaa Kiosk - Select CITYWALK Mall ,"Nykaa (Kiosk), Select City Walk Mall, A-3, Saket District Centre, District Centre, Sector 6, Pushp Vihar, New Delhi, Delhi - 110017",11:00 AM - 09:30 PM,
"Nykaa Luxe - VR Mall, Surat ","Nykaa Luxe, VR Mall, Shop No. – 16A, Ground Floor, Dumas Rd, Magdalla, Surat, Gujarat 395007",11:00 AM - 09:30 PM,
"Nykaa On Trend - Sarath City Capital Mall, Hyderabad ","Nykaa On Trend, Sarath City Capital Mall, UG-105, Gachibowli - Miyapur Road, White Field Rd, Kondapur, Hyderabad, Telangana 500084",11:00 AM - 09:30 PM,
